1/1	9:12:28
1/1	9:17:28
1/1	9:22:28
1/1	9:27:28
1/1	9:32:28
1/1	9:37:28
1/1	9:42:28
1/1	9:47:28
1/1	9:52:28
1/1	10:01:44
1/1	10:06:44
1/1	10:11:44
1/1	10:16:44
1/1	10:21:44
1/1	10:26:44
1/1	10:31:44
1/1	10:36:44
1/1	10:41:44
1/1	10:46:44
1/1	10:51:44
1/1	10:56:44
1/1	11:01:44
1/1	11:06:44
1/1	11:11:44
1/1	11:16:44
1/1	11:21:44
1/1	11:26:44
1/1	11:35:53
1/1	11:40:53
1/1	11:45:53
1/1	11:50:53
1/1	11:55:53
1/1	12:00:53
1/1	12:05:53
1/1	12:10:53
1/1	12:15:53
1/1	12:20:53
1/1	12:25:53
1/1	12:30:53
1/1	12:35:53
1/1	12:40:53
1/1	12:45:53
1/1	12:50:53
1/1	12:55:53
1/1	13:00:53
1/1	13:05:53
1/1	13:10:53
1/1	13:15:53
1/1	13:20:53
1/1	13:25:53
1/1	13:30:53
1/1	13:35:53
1/1	13:40:53
1/1	13:45:53
1/1	13:50:53
1/1	13:55:53
1/1	14:00:53
1/1	14:05:53
1/1	14:10:53
1/1	14:15:53
1/1	14:20:53
1/1	14:25:53
1/1	14:30:53
1/1	14:35:53
1/1	14:40:53
1/1	14:45:53
1/1	14:50:53
1/1	14:55:53
1/1	15:00:53
1/1	15:05:53
1/1	15:10:53
1/1	15:15:53
1/1	15:20:53
1/1	15:25:53
1/1	15:30:53
1/1	15:35:53
1/1	15:40:53
1/1	15:45:53
1/1	15:50:53
1/1	15:55:53
1/1	16:00:53
1/1	16:05:53
1/1	16:10:53
1/1	16:15:53
1/1	16:20:53
1/1	16:25:53
1/1	16:30:53
1/1	16:35:53
1/1	16:40:53
1/1	16:45:53
1/1	16:50:53
1/1	16:55:53
1/1	17:00:53
1/1	17:05:53
1/1	17:10:53
1/1	17:20:30
1/1	17:28:31
1/1	17:33:31
1/1	17:38:31
1/1	17:43:31
1/1	17:48:31
1/1	17:53:31
1/1	17:58:31
1/1	18:03:31
1/1	18:08:31
1/1	18:19:33
1/1	18:24:33
1/1	18:29:33
1/1	18:34:33
1/1	18:39:33
1/1	18:44:33
1/1	18:49:33
1/1	18:54:33
1/1	18:59:33
1/1	19:04:33
1/1	19:09:33
1/1	19:14:33
1/1	19:19:33
1/1	19:24:33
1/1	19:29:33
1/1	19:34:33
1/1	19:39:33
1/1	19:44:33
1/1	19:49:33
1/1	19:54:33
1/1	19:59:33
1/1	20:04:33
1/1	20:09:33
1/1	20:14:33
1/1	20:19:33
1/1	20:24:33
1/1	20:29:33
1/1	20:34:33
1/1	20:39:33
1/1	20:44:33
1/1	20:49:33
0/1	20:54:33
0/0	20:59:33
0/0	21:04:33
0/0	21:09:33
0/0	21:14:33
0/0	21:19:33
0/0	21:24:33
0/0	21:29:33
0/0	21:34:33
0/0	21:39:33
0/0	21:44:33
0/0	21:49:33
0/0	21:54:33
0/0	21:59:33
0/0	22:04:33
0/0	22:09:33
0/0	22:14:33
0/0	22:19:33
0/0	22:24:33
0/0	22:29:33
0/0	22:34:33
0/0	22:39:33
0/0	22:44:33
0/0	22:49:33
0/0	22:54:33
0/0	22:59:33
0/0	23:04:33
0/0	23:09:33
0/0	23:14:33
0/0	23:19:33
0/0	23:24:33
0/0	23:29:33
0/0	23:34:33
0/0	23:39:33
0/0	23:44:33
0/0	23:49:33
0/0	23:54:33
0/0	23:59:33
